12:18:47.965 | 0e | 0000 | ectc301perto |  -44
12:18:48.149 | 0e | 0001 | ectc301perto |  -36
12:18:48.367 | 0e | 0002 | ectc301perto |  -38
12:18:48.561 | 0e | 0003 | ectc301perto |  -36
12:18:48.782 | 0e | 0004 | ectc301perto |  -53
12:18:49.017 | 0e | 0005 | ectc301perto |  -42
12:18:49.243 | 0e | 0006 | ectc301perto |  -36
12:18:49.476 | 0e | 0007 | ectc301perto |  -37
12:18:49.706 | 0e | 0008 | ectc301perto |  -34
12:18:49.938 | 0e | 0009 | ectc301perto |  -33
12:18:50.178 | 0e | 0010 | ectc301perto |  -43
12:18:50.377 | 0e | 0011 | ectc301perto |  -37
12:18:50.605 | 0e | 0012 | ectc301perto |  -37
12:18:50.836 | 0e | 0013 | ectc301perto |  -42
12:18:51.048 | 0e | 0014 | ectc301perto |  -43
12:18:51.246 | 0e | 0015 | ectc301perto |  -47
12:18:51.459 | 0e | 0016 | ectc301perto |  -46
12:18:51.683 | 0e | 0017 | ectc301perto |  -41
12:18:51.910 | 0e | 0018 | ectc301perto |  -44
12:18:52.112 | 0e | 0019 | ectc301perto |  -42
12:18:52.304 | 0e | 0020 | ectc301perto |  -44
12:18:52.526 | 0e | 0021 | ectc301perto |  -46
12:18:52.752 | 0e | 0022 | ectc301perto |  -46
12:18:52.991 | 0e | 0023 | ectc301perto |  -46
12:18:53.202 | 0e | 0024 | ectc301perto |  -44
12:18:53.423 | 0e | 0025 | ectc301perto |  -42
12:18:53.655 | 0e | 0026 | ectc301perto |  -42
12:18:53.864 | 0e | 0027 | ectc301perto |  -42
12:18:54.072 | 0e | 0028 | ectc301perto |  -42
12:18:54.284 | 0e | 0029 | ectc301perto |  -42
12:18:54.512 | 0e | 0030 | ectc301perto |  -43
12:18:54.728 | 0e | 0031 | ectc301perto |  -44
12:18:54.935 | 0e | 0032 | ectc301perto |  -43
12:18:55.148 | 0e | 0033 | ectc301perto |  -43
12:18:55.378 | 0e | 0034 | ectc301perto |  -44
12:18:55.572 | 0e | 0035 | ectc301perto |  -44
12:18:55.789 | 0e | 0036 | ectc301perto |  -44
12:18:56.017 | 0e | 0037 | ectc301perto |  -44
12:18:56.246 | 0e | 0038 | ectc301perto |  -44
12:18:56.466 | 0e | 0039 | ectc301perto |  -44
12:18:56.678 | 0e | 0040 | ectc301perto |  -44
12:18:56.896 | 0e | 0041 | ectc301perto |  -44
12:18:57.131 | 0e | 0042 | ectc301perto |  -44
12:18:57.360 | 0e | 0043 | ectc301perto |  -44
12:18:57.586 | 0e | 0044 | ectc301perto |  -44
12:18:57.800 | 0e | 0045 | ectc301perto |  -44
12:18:58.026 | 0e | 0046 | ectc301perto |  -45
12:18:58.230 | 0e | 0047 | ectc301perto |  -44
12:18:58.444 | 0e | 0048 | ectc301perto |  -45
12:18:58.668 | 0e | 0049 | ectc301perto |  -45
12:18:58.892 | 0e | 0050 | ectc301perto |  -46
12:18:59.119 | 0e | 0051 | ectc301perto |  -44
12:18:59.344 | 0e | 0052 | ectc301perto |  -44
12:18:59.556 | 0e | 0053 | ectc301perto |  -44
12:18:59.773 | 0e | 0054 | ectc301perto |  -44
12:19:00.010 | 0e | 0055 | ectc301perto |  -44
12:19:00.258 | 0e | 0056 | ectc301perto |  -44
12:19:00.490 | 0e | 0057 | ectc301perto |  -44
