12:24:28.064 | 0e | 0000 | ectc301perto |  -37
12:24:28.266 | 0e | 0001 | ectc301perto |  -37
12:24:28.443 | 0e | 0002 | ectc301perto |  -38
12:24:28.626 | 0e | 0003 | ectc301perto |  -38
12:24:28.813 | 0e | 0004 | ectc301perto |  -38
12:24:28.998 | 0e | 0005 | ectc301perto |  -37
12:24:29.161 | 0e | 0006 | ectc301perto |  -38
12:24:29.352 | 0e | 0007 | ectc301perto |  -38
12:24:29.500 | 0e | 0008 | ectc301perto |  -38
12:24:29.651 | 0e | 0009 | ectc301perto |  -37
12:24:29.826 | 0e | 0010 | ectc301perto |  -36
12:24:29.989 | 0e | 0011 | ectc301perto |  -36
12:24:30.169 | 0e | 0012 | ectc301perto |  -38
12:24:30.332 | 0e | 0013 | ectc301perto |  -41
12:24:30.523 | 0e | 0014 | ectc301perto |  -39
12:24:30.715 | 0e | 0015 | ectc301perto |  -38
12:24:30.900 | 0e | 0016 | ectc301perto |  -39
12:24:31.084 | 0e | 0017 | ectc301perto |  -39
12:24:31.247 | 0e | 0018 | ectc301perto |  -38
12:24:31.438 | 0e | 0019 | ectc301perto |  -38
12:24:31.625 | 0e | 0020 | ectc301perto |  -38
12:24:31.814 | 0e | 0021 | ectc301perto |  -37
12:24:32.001 | 0e | 0022 | ectc301perto |  -36
12:24:32.189 | 0e | 0023 | ectc301perto |  -36
12:24:32.385 | 0e | 0024 | ectc301perto |  -37
12:24:32.574 | 0e | 0025 | ectc301perto |  -38
12:24:32.766 | 0e | 0026 | ectc301perto |  -36
12:24:32.951 | 0e | 0027 | ectc301perto |  -37
12:24:33.138 | 0e | 0028 | ectc301perto |  -37
12:24:33.315 | 0e | 0029 | ectc301perto |  -37
12:24:33.503 | 0e | 0030 | ectc301perto |  -36
12:24:33.691 | 0e | 0031 | ectc301perto |  -37
12:24:33.889 | 0e | 0032 | ectc301perto |  -36
12:24:34.083 | 0e | 0033 | ectc301perto |  -37
12:24:34.270 | 0e | 0034 | ectc301perto |  -36
12:24:34.456 | 0e | 0035 | ectc301perto |  -37
12:24:34.641 | 0e | 0036 | ectc301perto |  -36
12:24:34.840 | 0e | 0037 | ectc301perto |  -37
12:24:34.996 | 0e | 0038 | ectc301perto |  -37
12:24:35.183 | 0e | 0039 | ectc301perto |  -37
12:24:35.342 | 0e | 0040 | ectc301perto |  -37
12:24:35.533 | 0e | 0041 | ectc301perto |  -37
12:24:35.720 | 0e | 0042 | ectc301perto |  -37
