17:53:21.541 | 0b | 0000 | 100metros |  -90
17:53:21.757 | 0b | 0001 | 100metros |  -89
17:53:21.975 | 0b | 0002 | 100metros |  -91
17:53:22.195 | 0b | 0003 | 100metros |  -91
17:53:22.403 | 0b | 0004 | 100metros |  -84
17:53:22.599 | 0b | 0005 | 100metros |  -83
17:53:22.794 | 0b | 0006 | 100metros |  -84
17:53:23.011 | 0b | 0007 | 100metros |  -82
17:53:23.185 | 0b | 0008 | 100metros |  -82
17:53:23.374 | 0b | 0009 | 100metros |  -82
17:53:23.537 | 0b | 0010 | 100metros |  -82
17:53:23.720 | 0b | 0011 | 100metros |  -82
17:53:23.935 | 0b | 0012 | 100metros |  -84
17:53:24.183 | 0b | 0013 | 100metros |  -84
17:53:24.376 | 0b | 0014 | 100metros |  -81
17:53:24.590 | 0b | 0015 | 100metros |  -81
17:53:24.786 | 0b | 0016 | 100metros |  -87
17:53:25.019 | 0b | 0017 | 100metros |  -95
17:53:25.264 | 0b | 0018 | 100metros | -106
17:53:25.456 | 0b | 0019 | 100metros | -102
17:53:25.686 | 0b | 0020 | 100metros |  -97
17:53:25.924 | 0b | 0021 | 100metros |  -95
17:53:26.128 | 0b | 0022 | 100metros |  -97
17:53:26.339 | 0b | 0023 | 100metros |  -97
17:53:26.548 | 0b | 0024 | 100metros |  -99
17:53:26.772 | 0b | 0025 | 100metros |  -97
17:53:26.962 | 0b | 0026 | 100metros |  -97
17:53:27.154 | 0b | 0027 | 100metros |  -97
17:53:27.352 | 0b | 0028 | 100metros |  -98
17:53:27.542 | 0b | 0029 | 100metros |  -98
17:53:27.745 | 0b | 0030 | 100metros |  -95
17:53:27.936 | 0b | 0031 | 100metros |  -92
17:53:28.158 | 0b | 0032 | 100metros |  -92
17:53:28.362 | 0b | 0033 | 100metros |  -92
17:53:28.544 | 0b | 0034 | 100metros |  -92
17:53:28.762 | 0b | 0035 | 100metros |  -91
17:53:28.973 | 0b | 0036 | 100metros |  -90
17:53:29.172 | 0b | 0037 | 100metros |  -90
17:53:29.353 | 0b | 0038 | 100metros |  -90
17:53:29.572 | 0b | 0039 | 100metros |  -90
17:53:29.818 | 0b | 0040 | 100metros |  -91
17:53:30.064 | 0b | 0041 | 100metros |  -90
17:53:30.252 | 0b | 0042 | 100metros |  -91
17:53:30.474 | 0b | 0043 | 100metros |  -91
17:53:30.685 | 0b | 0044 | 100metros |  -93
17:53:30.920 | 0b | 0045 | 100metros |  -94
17:53:31.130 | 0b | 0046 | 100metros |  -95
17:53:31.339 | 0b | 0047 | 100metros |  -96
17:53:31.563 | 0b | 0048 | 100metros |  -95
17:53:31.778 | 0b | 0049 | 100metros |  -95
17:53:31.981 | 0b | 0050 | 100metros |  -95
17:53:32.202 | 0b | 0051 | 100metros |  -96
17:53:32.460 | 0b | 0052 | 100metros |  -95
17:53:32.650 | 0b | 0053 | 100metros |  -93
17:53:32.883 | 0b | 0054 | 100metros |  -92
17:53:33.099 | 0b | 0055 | 100metros |  -93
17:53:33.317 | 0b | 0056 | 100metros |  -93
17:53:33.567 | 0b | 0057 | 100metros |  -94
17:53:33.841 | 0b | 0058 | 100metros |  -97
17:53:34.072 | 0b | 0059 | 100metros |  -97
17:53:34.316 | 0b | 0060 | 100metros | -100
17:53:34.540 | 0b | 0061 | 100metros |  -99
17:53:34.750 | 0b | 0062 | 100metros |  -98
17:53:34.961 | 0b | 0063 | 100metros |  -95
17:53:35.159 | 0b | 0064 | 100metros |  -94
17:53:35.364 | 0b | 0065 | 100metros |  -95
17:53:35.579 | 0b | 0066 | 100metros |  -94
17:53:35.985 | 0b | 0068 | 100metros | -102
17:53:36.201 | 0b | 0069 | 100metros |  -98
17:53:36.432 | 0b | 0070 | 100metros |  -97
17:53:36.651 | 0b | 0071 | 100metros | -100
17:53:36.889 | 0b | 0072 | 100metros |  -98
17:53:37.141 | 0b | 0073 | 100metros |  -99
17:53:37.374 | 0b | 0074 | 100metros | -100
17:53:37.579 | 0b | 0075 | 100metros |  -97
17:53:38.014 | 0b | 0077 | 100metros | -100
17:53:38.277 | 0b | 0078 | 100metros | -102
17:53:38.499 | 0b | 0079 | 100metros | -102
17:53:38.727 | 0b | 2128 | 100metros | -105 CRC error
17:53:38.923 | 0b | 0081 | 100metros | -101
17:53:39.119 | 0b | 0082 | 100metros | -102
17:53:39.347 | 0b | 0083 | 100metros | -100
17:53:39.537 | 0b | 0084 | 100metros |  -96
17:53:39.774 | 0b | 0085 | 100metros |  -96
17:53:39.973 | 0b | 0086 | 100metros |  -95
17:53:40.187 | 0b | 0087 | 100metros |  -98
17:53:40.389 | 0b | 0088 | 100metbos | -106 CRC error
17:53:40.627 | 0b | 0089 | 100metros |  -97
17:53:40.867 | 0b | 0090 | 100metros |  -96
17:53:41.088 | 0b | 0091 | 100metros |  -96
17:53:41.301 | 0b | 0092 | 100metros |  -97
17:53:41.538 | 0b | 0093 | 100metros |  -96
17:53:41.776 | 0b | 0094 | 100metros | -101
17:53:41.998 | 0b | 0095 | 100metros |  -98
17:53:42.222 | 0b | 0096 | 100metros | -101
17:53:42.456 | 0b | 0097 | 100metros |  -97
17:53:42.708 | 0b | 0098 | 100metros |  -95
17:53:42.906 | 0b | 0099 | 100metros |  -93
17:53:43.088 | 0b | 0100 | 100metros |  -91
17:53:43.334 | 0b | 0101 | 100metros |  -90
17:53:43.526 | 0b | 0102 | 100metros |  -90
17:53:43.751 | 0b | 0103 | 100metros |  -90
17:53:43.948 | 0b | 0104 | 100metros |  -91
17:53:44.150 | 0b | 0105 | 100metros |  -91
17:53:44.373 | 0b | 0106 | 100metros |  -92
17:53:44.595 | 0b | 0107 | 100metros |  -88
17:53:44.818 | 0b | 0108 | 100metros |  -87
17:53:45.025 | 0b | 0109 | 100metros |  -87
17:53:45.240 | 0b | 0110 | 100metros |  -85
17:53:45.490 | 0b | 0111 | 100metros |  -84
17:53:45.719 | 0b | 0112 | 100metros |  -87
