17:37:13.710 | 0a | 0003 | 60metros |  -98
17:37:13.932 | 0a | 0004 | 60metros |  -96
17:37:14.143 | 0a | 0005 | 60metros |  -94
17:37:14.367 | 0a | 0006 | 60metros |  -92
17:37:14.562 | 0a | 0007 | 60metros |  -93
17:37:14.752 | 0a | 0008 | 60metros |  -93
17:37:14.941 | 0a | 0009 | 60metros |  -93
17:37:15.144 | 0a | 0010 | 60metros |  -92
17:37:15.348 | 0a | 0011 | 60metros |  -94
17:37:15.546 | 0a | 0012 | 60metros |  -96
17:37:15.765 | 0a | 0013 | 60metros |  -96
17:37:15.972 | 0a | 0014 | 60metros |  -97
17:37:16.181 | 0a | 0015 | 60metros |  -96
17:37:16.399 | 0a | 0016 | 60metros |  -97
17:37:16.586 | 0a | 0017 | 60metros |  -98
17:37:16.800 | 0a | 0018 | 60metros |  -97
17:37:16.997 | 0a | 0019 | 60metros |  -96
17:37:17.188 | 0a | 0020 | 60metros |  -94
17:37:17.403 | 0a | 0021 | 60metros |  -95
17:37:17.596 | 0a | 0022 | 60metros |  -94
17:37:17.789 | 0a | 0023 | 60metros |  -95
17:37:17.996 | 0a | 0024 | 60metros |  -96
17:37:18.196 | 0a | 0025 | 60metros |  -96
17:37:18.404 | 0a | 0026 | 60metros |  -96
17:37:18.607 | 0a | 0027 | 60metros |  -93
17:37:18.804 | 0a | 0028 | 60metros |  -95
17:37:19.012 | 0a | 0029 | 60metros |  -94
17:37:19.231 | 0a | 0030 | 60metros |  -96
17:37:19.423 | 0a | 0031 | 60metros | -100
17:37:19.637 | 0a | 0032 | 60metros | -103
17:37:19.854 | 0a | 0033 | 60metros | -103
17:37:20.058 | 0a | 0034 | 60metros |  -96
17:37:20.273 | 0a | 0035 | 60metros |  -96
17:37:20.473 | 0a | 0036 | 60metros |  -98
17:37:20.695 | 0a | 0037 | 60metros |  -96
17:37:20.902 | 0a | 0038 | 60metros |  -92
17:37:21.112 | 0a | 0039 | 60metros |  -90
17:37:21.316 | 0a | 0040 | 60metros |  -91
17:37:21.525 | 0a | 0041 | 60metros |  -91
17:37:21.747 | 0a | 0042 | 60metros |  -91
17:37:21.998 | 0a | 0043 | 60metros |  -90
17:37:22.238 | 0a | 0044 | 60metros |  -91
17:37:22.425 | 0a | 0045 | 60metros |  -93
17:37:22.598 | 0a | 0046 | 60metros |  -92
17:37:22.840 | 0a | 0047 | 60metros |  -93
17:37:23.085 | 0a | 0048 | 60metros |  -95
17:37:23.314 | 0a | 0049 | 60metros |  -98
17:37:23.544 | 0a | 0050 | 60metros |  -96
17:37:23.764 | 0a | 0051 | 60metros |  -95
17:37:23.983 | 0a | 0052 | 60metros |  -94
17:37:24.189 | 0a | 0053 | 60metros |  -96
17:37:24.401 | 0a | 0054 | 60metros |  -98
17:37:24.634 | 0a | 0055 | 60metros |  -99
17:37:24.845 | 0a | 0056 | 60metros |  -99
17:37:25.076 | 0a | 0057 | 60metros |  -97
17:37:25.309 | 0a | 0058 | 60metros | -100
17:37:25.548 | 0a | 0059 | 60metros | -100
17:37:25.784 | 0a | 0060 | 60metros |  -96
17:37:25.998 | 0a | 0061 | 60metros |  -96
17:37:26.224 | 0a | 0062 | 60metros |  -98
17:37:26.463 | 0a | 0063 | 60metros | -100
17:37:26.690 | 0a | 0064 | 60metros | -101
17:37:26.909 | 0a | 0065 | 60metros |  -98
17:37:27.170 | 0a | 0066 | 60metros | -100
17:37:27.416 | 0a | 0067 | 60metros |  -97
17:37:27.626 | 0a | 0068 | 60metros |  -97
17:37:27.845 | 0a | 0069 | 60metros |  -97
17:37:28.090 | 0a | 0070 | 60metros | -101
17:37:28.306 | 0a | 0071 | 60metros | -101
17:37:28.547 | 0a | 0072 | 60metros |  -98
17:37:29.003 | 0a | 0074 | 6?metros | -104 CRC error
17:37:29.198 | 0a | 0107 | 60n?tsos | -108 CRC error
17:37:29.424 | 0a | 0076 | 60metros | -101
17:37:29.657 | 0a | 0077 | 60metros | -104
17:37:29.880 | 0a | 0078 | 60metros | -100
17:37:30.095 | 0a | 0079 | 60metros | -104
17:37:30.332 | 0a | 0080 | 60metros | -102
17:37:30.564 | 1a | 0081 | 60metros?]k?k?T???????? | -102 CRC error
17:37:30.776 | 1a | 0082 | 60metros??j??n???{mw}? | -105 CRC error
17:37:30.980 | 0a | 0083 | 60metros | -105
17:37:31.434 | 0a | 0085 | 60metros | -103
17:37:31.666 | 0a | 0086 | 60metrs | -102 CRC error
17:37:31.833 | 0a | 0215 | 40metros | -103 CRC error
17:37:33.172 | 0a | 0093 | 60metros | -103
17:37:33.393 | 0a | 0094 | 60metros | -101
17:37:33.601 | 0a | 0095 | 60metros | -100
17:37:33.812 | 0a | 0096 | 60metros |  -99
17:37:34.057 | 0a | 0097 | 60metros | -100
17:37:34.314 | 0a | 0098 | 60metros | -100
17:37:34.560 | 0a | 0099 | 60metros |  -99
17:37:34.808 | 0a | 0100 | 60metros | -100
17:37:35.034 | 0a | 0101 | 60metros |  -99
17:37:35.270 | 0a | 0102 | 60metros |  -96
17:37:35.500 | 0a | 0103 | 60metros |  -97
17:37:35.726 | 0a | 0104 | 60metros |  -96
17:37:35.967 | 0a | 0105 | 60metros |  -96
17:37:36.209 | 0a | 0106 | 60metros |  -96
17:37:36.466 | 0a | 0107 | 60metros |  -95
17:37:36.684 | 0a | 0108 | 60metros |  -95
17:37:36.909 | 0a | 0109 | 60metros |  -96
17:37:37.120 | 0a | 0110 | 60metros |  -97
17:37:37.324 | 0a | 0111 | 60metros |  -97
17:37:37.558 | 0a | 0112 | 60metros |  -96
17:37:37.781 | 0a | 0113 | 60metros |  -99
17:37:38.020 | 0a | 0114 | 60metros |  -98
17:37:38.268 | 0a | 0115 | 60metros |  -97
17:37:38.482 | 0a | 0116 | 60metros |  -96
17:37:38.711 | 0a | 0117 | 60metros |  -96
17:37:38.911 | 0a | 0118 | 60metros |  -95
17:37:39.131 | 0a | 0119 | 60metros |  -96
17:37:39.347 | 0a | 0120 | 60metros |  -98
17:37:39.576 | 0a | 0121 | 60metros |  -99
17:37:39.819 | 0a | 0122 | 60metros |  -96
17:37:40.063 | 0a | 0123 | 60metros |  -98
17:37:40.311 | 0a | 0124 | 60metros | -101
17:37:40.535 | 0a | 0125 | 7rmetros | -106 CRC error
17:37:40.747 | 0a | 0126 | 60metros | -100
17:37:40.948 | 0a | 0127 | 60metros | -102
17:37:41.190 | 0a | 0128 | 60metros | -100
17:37:41.448 | 0a | 0129 | 60metros |  -92
17:37:41.666 | 0a | 0130 | 60metros |  -93
17:37:41.878 | 0a | 0131 | 60metros |  -93
17:37:42.095 | 0a | 0132 | 60metros |  -97
17:37:42.330 | 0a | 0133 | 60metros | -101
17:37:42.581 | 0a | 0134 | 60metros |  -95
17:37:42.782 | 0a | 0135 | 60metros |  -99
17:37:43.016 | 0a | 0136 | 60metros |  -96
17:37:43.217 | 0a | 0137 | 60metros |  -96
