17:39:27.769 | 0a | 0000 | 70metros | -104
17:39:28.400 | 0a | 0003 | 70metros | -101
17:39:28.598 | 0a | 0004 | 70metros |  -99
17:39:28.813 | 0a | 0005 | 70metros |  -98
17:39:29.031 | 0a | 0006 | 70metros |  -96
17:39:29.259 | 0a | 0007 | 70metros |  -95
17:39:29.459 | 0a | 0008 | 70metros |  -98
17:39:29.672 | 0a | 0009 | 70metros |  -97
17:39:29.880 | 0a | 0010 | 70metros |  -95
17:39:30.076 | 0a | 0011 | 70metros |  -96
17:39:30.320 | 0a | 0012 | 70metros |  -96
17:39:30.529 | 0a | 0013 | 70metros |  -97
17:39:30.739 | 0a | 0014 | 70metros |  -97
17:39:30.940 | 0a | 0015 | 70metros |  -96
17:39:31.190 | 0a | 0016 | 70metros |  -92
17:39:31.393 | 0a | 0017 | 70metros |  -97
17:39:31.584 | 0a | 0018 | 70metros |  -94
17:39:31.802 | 0a | 0019 | 70metros |  -91
17:39:32.049 | 0a | 0020 | 70metros |  -96
17:39:32.252 | 0a | 0021 | 70metros |  -94
17:39:32.465 | 0a | 0022 | 70metros |  -94
17:39:32.648 | 0a | 0023 | 70metros |  -99
17:39:32.879 | 0a | 0024 | 70metros |  -95
17:39:33.101 | 0a | 0025 | 70metros |  -94
17:39:33.326 | 0a | 0026 | 70metros |  -94
17:39:33.558 | 0a | 0027 | 70metros |  -95
17:39:33.761 | 0a | 0028 | 70metros |  -96
17:39:33.991 | 0a | 0029 | 70metros |  -97
17:39:34.200 | 0a | 0030 | 70metros |  -97
17:39:34.394 | 0a | 0031 | 70metros | -100
17:39:34.622 | 0a | 0032 | 70metros | -100
17:39:34.844 | 0a | 0033 | 70metros |  -98
17:39:35.070 | 0a | 0034 | 70metros |  -97
17:39:35.286 | 0a | 0035 | 70metros |  -98
17:39:35.485 | 0a | 0036 | 70metros |  -96
17:39:35.685 | 0a | 0037 | 70metros |  -97
17:39:35.908 | 0a | 0038 | 70metros |  -98
17:39:36.143 | 0a | 0039 | 70metros | -100
17:39:36.378 | 0a | 0040 | 70metros |  -99
17:39:36.594 | 0a | 0041 | 70metros | -100
17:39:36.837 | 0a | 0042 | 70metros |  -99
17:39:37.066 | 0a | 0043 | 70metros |  -99
17:39:37.275 | 0a | 0044 | 70metros | -103
17:39:37.471 | 0a | 0045 | 70metros |  -98
17:39:37.693 | 0a | 0046 | 70metros |  -97
17:39:37.896 | 0a | 0047 | 70metros |  -96
17:39:38.130 | 0a | 0048 | 70metros |  -97
17:39:38.360 | 0a | 0049 | 70metros |  -98
17:39:38.580 | 0a | 0050 | 70metros |  -98
17:39:38.777 | 0a | 0051 | 70metros | -103
17:39:38.983 | 0a | 0052 | 70metros | -101
17:39:39.162 | 0a | 0053 | 70metros | -101
17:39:39.347 | 0a | 0054 | 70metros |  -99
17:39:39.548 | 0a | 0055 | 70metros |  -92
17:39:39.783 | 0a | 0056 | 70metros |  -96
17:39:39.995 | 0a | 0057 | 70metros |  -95
17:39:40.177 | 0a | 0058 | 70metros |  -94
17:39:40.380 | 0a | 0059 | 70metros |  -91
17:39:40.615 | 0a | 0060 | 70metros |  -94
17:39:40.857 | 0a | 0061 | 70metros | -101
17:39:41.065 | 0a | 0062 | 70metros | -100
17:39:41.316 | 0a | 0063 | 70metros |  -96
17:39:41.543 | 0a | 0064 | 70metros |  -94
17:39:41.779 | 0a | 0065 | 70metros |  -96
17:39:42.014 | 0a | 0066 | 70metros |  -96
17:39:42.245 | 0a | 0067 | 70metros |  -95
17:39:42.499 | 0a | 0068 | 70metros |  -95
17:39:42.710 | 0a | 0069 | 70metros |  -93
17:39:42.921 | 0a | 0070 | 70metros |  -94
17:39:43.131 | 0a | 0071 | 70metros |  -93
17:39:43.385 | 0a | 0072 | 70metros |  -93
17:39:43.619 | 0a | 0073 | 70metros |  -95
17:39:43.794 | 0a | 0074 | 70metros |  -94
17:39:44.022 | 0a | 0075 | 70metros |  -96
17:39:44.230 | 0a | 0076 | 70metros |  -95
17:39:44.451 | 0a | 0077 | 70metros |  -91
17:39:44.626 | 0a | 0078 | 70metros |  -93
17:39:44.829 | 0a | 0079 | 70metros |  -94
17:39:45.040 | 0a | 0080 | 70metros |  -93
17:39:45.250 | 0a | 0081 | 70metros |  -95
17:39:45.457 | 0a | 0082 | 70metros |  -92
17:39:45.669 | 0a | 0083 | 70metros |  -93
17:39:45.887 | 0a | 0084 | 70metros |  -95
17:39:46.105 | 0a | 0085 | 70metros |  -96
17:39:46.313 | 0a | 0086 | 70metros |  -96
17:39:46.529 | 0a | 0087 | 70metros |  -96
17:39:46.765 | 0a | 0088 | 70metros |  -95
17:39:46.978 | 0a | 0089 | 70metros |  -94
17:39:47.216 | 0a | 0090 | 70metros |  -94
17:39:47.451 | 0a | 0091 | 70metros |  -96
17:39:47.684 | 0a | 0092 | 70metros |  -97
17:39:47.906 | 0a | 0093 | 70metros |  -98
17:39:48.117 | 0a | 0094 | 70metros |  -99
17:39:48.342 | 0a | 0095 | 70metros |  -95
17:39:48.554 | 0a | 0096 | 70metros |  -95
17:39:48.752 | 0a | 0097 | 70metros |  -96
17:39:48.947 | 0a | 0098 | 70metros |  -98
17:39:49.155 | 0a | 0099 | 70metros | -100
17:39:49.372 | 0a | 0100 | 70metros |  -97
17:39:49.597 | 0a | 0101 | 70metros |  -97
17:39:49.823 | 0a | 0102 | 70metros |  -97
17:39:50.040 | 0a | 0103 | 70metros |  -96
17:39:50.259 | 0a | 0104 | 70metros |  -94
17:39:50.498 | 0a | 0105 | 70metros |  -94
17:39:50.744 | 0a | 0106 | 70metros |  -94
17:39:50.945 | 0a | 0107 | 70metros |  -94
17:39:51.194 | 0a | 0108 | 70metros |  -94
17:39:51.429 | 0a | 0109 | 70metros |  -93
17:39:51.643 | 0a | 0110 | 70metros |  -93
17:39:51.870 | 0a | 0111 | 70metros |  -93
17:39:52.069 | 0a | 0112 | 70metros |  -93
17:39:52.247 | 0a | 0113 | 70metros |  -92
17:39:52.476 | 0a | 0114 | 70metros |  -93
17:39:52.714 | 0a | 0115 | 70metros |  -93
17:39:52.935 | 0a | 0116 | 70metros |  -92
17:39:53.159 | 0a | 0117 | 70metros |  -93
17:39:53.382 | 0a | 0118 | 70metros |  -93
17:39:53.614 | 0a | 0119 | 70metros |  -93
17:39:53.814 | 0a | 0120 | 70metros |  -93
17:39:54.029 | 0a | 0121 | 70metros |  -92
17:39:54.254 | 0a | 0122 | 70metros |  -93
17:39:54.468 | 0a | 0123 | 70metros |  -93
17:39:54.716 | 0a | 0124 | 70metros |  -93
17:39:54.969 | 0a | 0125 | 70metros |  -93
17:39:55.199 | 0a | 0126 | 70metros |  -92
17:39:55.418 | 0a | 0127 | 70metros |  -94
17:39:55.627 | 0a | 0128 | 70metros |  -96
17:39:55.860 | 0a | 0129 | 70metros |  -94
17:39:56.072 | 0a | 0130 | 70metros |  -96
17:39:56.292 | 0a | 0131 | 70metros |  -95
17:39:56.530 | 0a | 0132 | 70metros |  -96
17:39:56.767 | 0a | 0133 | 70metros |  -96
17:39:56.981 | 0a | 0134 | 70metros |  -96
17:39:57.223 | 0a | 0135 | 70metros |  -93
17:39:57.398 | 0a | 0136 | 70metros |  -95
17:39:57.636 | 0a | 0137 | 70metros |  -95
17:39:57.871 | 0a | 0138 | 70metros |  -96
17:39:58.063 | 0a | 0139 | 70metros |  -96
17:39:58.300 | 0a | 0140 | 70metros |  -96
17:39:58.531 | 0a | 0141 | 70metros |  -96
17:39:58.763 | 0a | 0142 | 70metros |  -97
17:39:58.961 | 0a | 0143 | 70metros |  -96
17:39:59.199 | 0a | 0144 | 70metros |  -96
17:39:59.429 | 0a | 0145 | 70metros |  -95
17:39:59.630 | 0a | 0146 | 70metros |  -95
17:39:59.838 | 0a | 0147 | 70metros |  -95
17:40:00.025 | 14 | 0000 | Iq??LNex-u??>f?R |  -70
17:40:00.066 | 0a | 0148 | 70metros |  -95
